file,experiment,n,quota,c,replicate,rtt_ms,loss_pct,faulty_nodes,tps,tps_norm,blocks,block_interval_mean,p_d,p_f,rho,log_n,log_c,log_tps
X2-n13-q0.25-c16-r0-l0-rep1.json,X2,13,0.25,16,1,0,0.0,0,19.727272727272727,78.9090909090909,136,2.2,,,,2.5649493574615367,2.772588722239781,4.36829644186198
X2-n13-q0.25-c16-r0-l0-rep2.json,X2,13,0.25,16,2,0,0.0,0,21.578595317725753,86.31438127090301,137,2.198529411764706,,,,2.5649493574615367,2.772588722239781,4.457996226974304
X2-n13-q0.33-c16-r0-l0-rep0.json,X2,13,0.33,16,0,0,0.0,0,21.889261744966444,66.331096196868,131,2.292307692307692,,,,2.5649493574615367,2.772588722239781,4.194658809812303
X2-n13-q0.33-c16-r0-l0-rep1.json,X2,13,0.33,16,1,0,0.0,0,32.215488215488215,97.62269156208549,127,2.357142857142857,,,,2.5649493574615367,2.772588722239781,4.581109961909324
X2-n13-q0.33-c16-r0-l0-rep2.json,X2,13,0.33,16,2,0,0.0,0,52.0503355704698,157.72828960748424,135,2.2238805970149254,,,,2.5649493574615367,2.772588722239781,5.060873866640957
X2-n4-q0.2-c16-r0-l0-rep1.json,X2,4,0.2,16,1,0,0.0,0,55.46801346801347,277.3400673400673,128,2.338582677165354,,,,1.3862943611198906,2.772588722239781,5.625244433132595
X2-n4-q0.25-c16-r0-l0-rep0.json,X2,4,0.25,16,0,0,0.0,0,73.71380471380472,294.8552188552189,137,2.1838235294117645,,,,1.3862943611198906,2.772588722239781,5.686484452324527
X2-n4-q0.25-c16-r0-l0-rep1.json,X2,4,0.25,16,1,0,0.0,0,63.57627118644068,254.3050847457627,25,2.4583333333333335,,,,1.3862943611198906,2.772588722239781,5.538534667296059
X2-n4-q0.33-c16-r0-l0-rep1.json,X2,4,0.33,16,1,0,0.0,0,70.0,212.12121212121212,6,2.2,,,,1.3862943611198906,2.772588722239781,5.3571578665709705
X2-n7-q0.2-c16-r0-l0-rep1.json,X2,7,0.2,16,1,0,0.0,0,14.666666666666666,73.33333333333333,35,2.2058823529411766,,,,1.9459101490553132,2.772588722239781,4.295015257684252
X2-n7-q0.2-c16-r0-l0-rep2.json,X2,7,0.2,16,2,0,0.0,0,21.55481727574751,107.77408637873755,135,2.246268656716418,,,,1.9459101490553132,2.772588722239781,4.680037243480474
X2-n7-q0.25-c16-r0-l0-rep0.json,X2,7,0.25,16,0,0,0.0,0,20.694444444444443,82.77777777777777,33,2.25,,,,1.9459101490553132,2.772588722239781,4.41615964104334
X2-n7-q0.25-c16-r0-l0-rep1.json,X2,7,0.25,16,1,0,0.0,0,32.472727272727276,129.8909090909091,49,2.2916666666666665,,,,1.9459101490553132,2.772588722239781,4.866694937323865
X2-n7-q0.25-c16-r0-l0-rep2.json,X2,7,0.25,16,2,0,0.0,0,31.020408163265305,124.08163265306122,133,2.227272727272727,,,,1.9459101490553132,2.772588722239781,4.820939676849586
X2-n7-q0.33-c16-r0-l0-rep0.json,X2,7,0.33,16,0,0,0.0,0,81.62751677852349,247.35611145007115,128,2.3464566929133857,,,,1.9459101490553132,2.772588722239781,5.5108290450704125
X2-n7-q0.33-c16-r0-l0-rep1.json,X2,7,0.33,16,1,0,0.0,0,84.25082508250826,255.30553055305532,137,2.2279411764705883,,,,1.9459101490553132,2.772588722239781,5.542460986970322
X2-n7-q0.33-c16-r0-l0-rep2.json,X2,7,0.33,16,2,0,0.0,0,88.09634551495017,266.9586227725763,138,2.197080291970803,,,,1.9459101490553132,2.772588722239781,5.5870936755017935
X3-n7-q0.25-c1-r0-l0-rep0.json,X3,7,0.25,1,0,0,0.0,0,14.758389261744966,59.033557046979865,150,2.0,,,,1.9459101490553132,0.0,4.078106045729193
X3-n7-q0.25-c1-r0-l0-rep1.json,X3,7,0.25,1,1,0,0.0,0,12.581939799331103,50.32775919732441,150,2.0067114093959733,,,,1.9459101490553132,0.0,3.91855679759018
X3-n7-q0.25-c1-r0-l0-rep2.json,X3,7,0.25,1,2,0,0.0,0,14.657718120805368,58.630872483221474,150,2.0,,,,1.9459101490553132,0.0,4.071261392039227
X3-n7-q0.25-c16-r0-l0-rep0.json,X3,7,0.25,16,0,0,0.0,0,88.55629139072848,354.2251655629139,128,2.377952755905512,,,,1.9459101490553132,2.772588722239781,5.869932771844955
X3-n7-q0.25-c16-r0-l0-rep1.json,X3,7,0.25,16,1,0,0.0,0,37.84615384615385,151.3846153846154,68,2.328358208955224,,,,1.9459101490553132,2.772588722239781,5.019823720150662
X3-n7-q0.25-c2-r0-l0-rep0.json,X3,7,0.25,2,0,0,0.0,0,25.386666666666667,101.54666666666667,151,2.0,,,,1.9459101490553132,0.6931471805599453,4.620518462934891
X3-n7-q0.25-c2-r0-l0-rep1.json,X3,7,0.25,2,1,0,0.0,0,26.503355704697988,106.01342281879195,150,2.0,,,,1.9459101490553132,0.6931471805599453,4.663565716461081
X3-n7-q0.25-c2-r0-l0-rep2.json,X3,7,0.25,2,2,0,0.0,0,26.51839464882943,106.07357859531773,150,2.0067114093959733,,,,1.9459101490553132,0.6931471805599453,4.664132991001603
X3-n7-q0.25-c32-r0-l0-rep0.json,X3,7,0.25,32,0,0,0.0,0,31.053333333333335,124.21333333333334,137,2.2058823529411766,,,,1.9459101490553132,3.4657359027997265,4.822000517467921
X3-n7-q0.25-c32-r0-l0-rep1.json,X3,7,0.25,32,1,0,0.0,0,16.659574468085108,66.63829787234043,22,2.238095238095238,,,,1.9459101490553132,3.4657359027997265,4.199279455400635
X3-n7-q0.25-c32-r0-l0-rep2.json,X3,7,0.25,32,2,0,0.0,0,26.849498327759196,107.39799331103679,138,2.1824817518248176,,,,1.9459101490553132,3.4657359027997265,4.676541497645433
